,Description,num1,div,num2,unit
3804,JUICE TOMATO 100% ASEPTIC,12,/,46,oz
3805,POTATO RUSSET #2 10 OZ PAPR,1,/,50,lb
3806,BREADING MIX CHICKEN WESTERN,1,/,25,lb
3807,JUICE CRANBERRY CKTL27% BTL,8,/,64,oz
3808,MAHI FILET SKNLBNL 6 OZ PRTN,1,/,10,lb
3809,SAUCE ENCHILADA GREEN CHILE,12,/,28,oz
3810,FUEL CANNED CHAFER TWIST WICK,24,/,4,hr
3811,CHEESE CHDR MILD SLI 1 OZ,12,/,1,lb
3812,DOUGH BALL PIZZA IND WRPD 23OZ,20,/,23,oz
3813,HAIRNET NYLON LRG LTWT DK BRN,10,/,144,ct
3814,SNACK BAR GRAN PNUT SWT&SLTY,128,/,1.2,oz
3815,PORK RIB ST. LOUIS 2.75# DN,1,/,30,#avg
3816,PEANUT GRANULATED D/RST UNSALT,3,/,2,lb
3817,BREAD CRUMB PANKO NON GMO,1,/,20,lb
3818,ONION CHP DEHY DISPEN,1,/,15,lb
3819,LID PLAS FOR HRTG MUG/BWL/TUM,2000,/,,each
3820,CREAM SOUR PURE CUP GRADE A,100,/,1,oz
3821,PUDDING MIX BANANA INST,12,/,24,oz
3822,BEVERAGE MIX FROTHY ALEGRIA,8,/,32,oz
3823,SPOON SOUP PLAS WHT MED WT,1000,/,,ea
3824,CRACKER SALTINE PREM,12,/,16,oz
3825,DRINK MIX ON THE GO FRT PUNCH,4,/,30,ct
3826,CANDY STARBRST FRUIT CHW 2.07Z,10,/,36,ct
3827,SPICE PAPRIKA SPANISH FCY,3,/,5.25,lb
3828,TORTILLA CORN YEL 6,12,/,60,ct
3829,JUICE APPLE PET,12,/,15.2,oz
3830,CLEANER GLASS AMMON OASIS255SF,1,/,2.5,gal
3831,SPICE GINGER GRND,1,/,12.5,oz
3832,SAUSAGE PORK BULK BRKFST RAW,1,/,10,lb.
3833,PASTA MACARONI ELBOW SMOOTH,2,/,10,lb
3834,DESSERT BAR SUMMERBERRY,8,/,3,lb
3835,KALE FRESH LACINATO-TUSCAN,1,/,24,ct
3836,DILL FRESH ORGANIC,1,/,8,oz
3837,ROSEMARY FRESH ORGANIC,1,/,1,lb
3838,PEPPER CHERRY HOT SLI,4,/,1,gal
3839,SOUP BASE TURKEY NO MSG,6,/,1,lb
3840,DRESSING HONEY MUST,60,/,1.5,oz
3841,DRESSING CAESAR CREAMY,60,/,1.5,oz
3842,LETTUCE LEAF BETTER BRGR,2,/,5,lb
3843,STIRRER WOOD COFF 7.5 WRPD,10,/,500,ct
3844,EGG WHL LIQ BNB W/CITRIC,2,/,20,lb
3845,YAM WHL PLD FRSH,2,/,10,lb
3846,CUP PAPER HOT WHT 8 OZ,20,/,50,ct
3847,BEEF ROAST TOP RND C\O RAR WHL,1,/,14,lb
3848,SNACK MIX MUNCH MIX,104,/,.875,oz
3849,VINEGAR WINE SHERRY SPAIN 6%,12,/,16.75,z
3850,TEA HOT BAG BLK ENV DECAF,6,/,72,ct
3851,CHEESE PROVOLNE SMK,3,/,12,#avg
3852,CANDY BAR CHOC ALMOND,12,/,36,ct
3853,TAHINI PASTE SESAME,1,/,16,oz
3854,SPICE CHILI POWDER LT,1,/,5.5,lb
3855,SPICE CURRY POWDER,1,/,1,lb
3856,SPICE PAPRIKA HNGARIAN GRND,1,/,18,oz
3857,SPICE PARSLEY FLAKE,1,/,10,oz
3858,SPICE SALAD SUPREME,6,/,24,oz
3859,EXTRACT VANILLA PURE,1,/,16,oz
3860,SPICE PAPRIKA DOM GRND,1,/,1,lb
3861,SPICE CHILI POWDER LT,1,/,1,lb
3862,COOKIE FORTUNE WRPD,1,/,350,ct
3863,OLIVE KALAMATA PITTED LG,4,/,2,kg
3864,PLATE FOAM UL WHT 9,4,/,125,ct
3865,PLATE FOAM UL WHT 3COMP 9,4,/,125,ct
3866,SCALLOP SEA DRY BAG,1,/,40,#avg
3867,LID PLAS CLR PET FLAT F/320 OZ,1,/,25,ct
3868,PASTA DITALINI,16,/,1,lb
3869,WINE COOKING RED,4,/,1,gal
3870,APRON POLY EMBSD WHT 28X46 COM,5,/,100,ct
3871,CHOCOLATE CHIP SEMI REAL 4000,1,/,10,lb
3872,CHEESE PARM GRTD DRY PKT USA,200,/,3.5,gm
3873,CORN SWEET FRSH,1,/,,cs
3874,SPREAD FRUIT FIG,3,/,3.5,lb
3875,VINEGAR WINE CHAMPAGNE FRN 7%,12,/,16.75,z
3876,LID PLAS FOR 4J6/6J6/3.5J6,10,/,100,ct
3877,CUP FOAM 10OZ,40,/,25,ct
3878,MARSHMALLOW LARGE WHITE,12,/,1,lb
3879,MILK CONDENSED SWEETENED,24,/,14,oz
3880,BEET PKLD SLI MED FCY,6,/,,#10
3881,VINEGAR WINE WHITE 5%,4,/,1,gal
3882,PEA GREEN SWEET MIX SV XSTD,6,/,,#10
3883,SUGAR CONFECTIONER 10X CANE,24,/,1,lb
3884,TEA HOT BAG BLK ENGLISH TETIM,6,/,28,ct
3885,CUP SOUFFLE PAPER 2 OZ,20,/,250,ct
3886,ICE ITAL LEMON SUGAR FREE,72,/,4,oz
3887,JUICE CRANBERRY CKTL 27% CAN,48,/,5.5,oz
3888,JUICE DRINK ORIG SUPERFOOD,8,/,15.2,oz
3889,JUICE CONC FRZ PUNCH 10 % 5+1,3,/,3,l
3890,CLEANER DEGRSR NEUTRAL ENCMP,4,/,1,gal
3891,PLATE PAPER WHT VERDICT 8.75,4,/,125,ct
3892,CRACKER GOLDFISH CHEESE,60,/,1,oz
3893,JELLY ASST CUP GRAPE STRBERRY,200,/,.5,oz
3894,MUSHROOM CRIMINI LG FRSH,1,/,5,lb
3895,CEREAL RICE CRUNCHIN BWLPK,96,/,.75,oz
3896,LETTUCE SHRED FINE,1,/,5,lb
3897,RICE LONG GRAIN 4% BRKN,1,/,25,lb
3898,VINEGAR CIDER APPLE 5% 50 GRN,6,/,1,gal
3899,CORN MEAL WHITE SELF-RISING,1,/,25,lb
3900,ARUGULA BABY FRSH,2,/,1.5,lbs
3901,SOUP BASE CHICKEN,4,/,5,lb
3902,MIX CAKE DEVILS FOOD COMPLT,6,/,5,lb
3903,CUP PAPER BAKING FLUTE 4.5 WH,20,/,500,ct
3904,TEA HOT BAG HERBAL ORANG SPCE,6,/,28,ct
3905,CORN SMUT HUITLACOCHE POUCH,12,/,500,gr
3906,CHEESE MOZZ STRING,168,/,1,oz
3907,RICE MEXICAN FIESTA,6,/,24,oz
3908,OIL OLIVE EXTRA VIRGIN DELCATO,3,/,1,gal
3909,SALT GRANULATED PLAIN,1,/,25,lb
3910,DRESSING RANCH PACKET,100,/,1.5,oz
3911,CUCUMBER FRESH,1,/,24,ct
3912,BEAN KIDNEY LIGHT RED,6,/,,#10
3913,FLOUR H&R UNBLCHD,1,/,50,lb
3914,JUICE ORANGE PNAPLE PET 100%PB,12,/,15.2,oz
3915,TISSUE FACIAL 2PLY WHITE,30,/,100,ct
3916,CHESTNUT WATER SLICED,6,/,,#10
3917,MARMALADE ORANGE FCY,6,/,,#10
3918,BEEF STEAK CUBE CH,40,/,4,oz
3919,DETERGENT MACH SUPM TRUMP,4,/,1,gal
3920,PEANUT DRY ROAST SLTD,6,/,3.25,lb
3921,NAPKIN BEV 9.5X9.5 1P 1/4 WHT,4,/,1000,ct
3922,PEAR DICED IN LIGHT SYRUP,6,/,,#10
3923,BREAD NAAN ORIG MINI,64,/,1.6,oz
3924,CRACKER CHEEZIT ORIG,1,/,5,lb
3925,DINNER ASST KOSHER MEAL,6,/,13,oz
3926,BEEF CORNED BTM RND FLT CKD 20,2,/,6-10,#
3927,SAUCE HOISIN,6,/,5,lb
3928,MARGARINE SPREAD ZTF,900,/,5,gm
3929,FORK PLAS WHITE MED WT,1000,/,,ea
3930,TEA INSTANT NUTRA SWT &LMN 2GL,12,/,2,gal
3931,DRESSING 2000 ISLAND PACKET,100,/,1.5,oz
3932,SAUCE CRANBERRY JELLIED,6,/,101,oz
3933,PECAN PCS LARGE,3,/,2,lb
3934,MARGARINE BUTTER BLEND,1,/,20,lb
3935,MUSHROOM CRIMINI FRSH ORGANIC,1,/,5,lb
3936,SUPPLEMENT ENSURE VAN,24,/,8,oz
3937,CUP FOAM 12 OZ,40,/,25,ct
3938,FRUIT COCKTAIL CH IN JCE,6,/,,#10
3939,BASIL FRESH ORGANIC,1,/,8,oz
3940,MUSHROOM PORT CAP LRG #1 FRSH,1,/,5,lb
3941,SAUCE BBQ PACKET,200,/,12,gm
3942,TURKEY BRST CUTLETS RAW,40,/,4,oz
3943,PASTA ORECCHIETTE,2,/,10,lb
3944,WATER SPARKLN MIN IMP STRWBERY,24,/,.5,ltr
3945,SOUP BASE CLAM,6,/,1,lb
3946,STRIP TEST TAPE QUAT-10,2,/,,rolls
3947,SUGAR SUB BLUE,6,/,1,lb
3948,MARSHMALLOW REGULAR,12,/,1,lb
3949,SQUASH BUTTERNUT PLD & DICED,1,/,5,lb
3950,YOGURT RASPBERRY/PEACH ORIG,48,/,4,oz
3951,VINEGAR BALSAMIC ITALY,12,/,16.75,z
3952,TEA ICED BREW F P,32,/,3,oz
3953,SHRIMP WHT P&D TLOF 21/25,4,/,2.5,lb
3954,JUICE CLAM OCEAN NO MSG,12,/,46,oz
3955,CONE SUGAR #310,4,/,200,ct
3956,DRINK BLACKBERRY SPRKLG,24,/,8.4,oz
3957,JUICE BASE CRAN CONC 10% 4+1,1,/,3,gal
3958,JUICE CLAM SEA FCY NO MSG,12,/,46,oz
3959,JUICE GRPFRT RUBY RED GFT,12,/,15.2,oz
3960,KETCHUP JAR ROOM SERVICE,60,/,2.25,oz
3961,PUDDING MIX VANILLA INST,12,/,28,oz
3962,FUEL CANNED CHAFING STEM WICK,24,/,6,hr
3963,FUEL CANNED CHAFER TWIST WICK,24,/,6,hr
3964,SPOON PLAS TEA WHT MED WT,1000,/,,ea
3965,YOGURT STRAWBERRY GOGURT,96,/,2.0,oz
3966,PASTA ZITI,2,/,10,lb
3967,SYRUP BREAKFAST CUP,100,/,1.4,oz
3968,CUP FOAM 8 OZ,40,/,25,ct
3969,CRACKER TOAST & PNUT BUTTER,120,/,4,pk
3970,PEPPER SWEET MINI ASST COLR,12,/,1,pint
3971,CUP PLAS CLR 16/18 OZ,10,/,100,ct
3972,PEPPER RED FIRE RSTD STRIP,12,/,28,oz
3973,FILTER COFFEE PAPER 12 CUP REG,2,/,500,ct
3974,"PIE COCONUT CRM NSA 10""",6,/,28,oz
3975,CHERRY MARA STEM LG PLAS,6,/,.5,gal
3976,SUGAR GRANULATED XFINE CANE,1,/,25,lb
3977,BREAD CRUMB PLAIN,1,/,25,lb
3978,VINEGAR RICE UNSEAS NO MSG JAP,12,/,30,oz
3979,STRAW PAPER 8 WHT REG,4,/,375,ea
3980,BAG POLY CLR ICE 10 LB,2,/,500,ct
3981,OREGANO FRESH IQF,4,/,8,oz
3982,PASTA NOODLE EGG MED,2,/,5,lb
3983,SPICE CHILI POWDER DRK,1,/,5.5,lb
3984,SPICE CORIANDER GRND,1,/,14,oz
3985,SPICE ONION POWDER,1,/,5.5,lb
3986,SPICE PEPPER BLK CRSE GRND,1,/,5,lb
3987,SPICE PEPPER WHITE WHL,6,/,20,oz
3988,SPICE ROSEMARY WH,3,/,2,lb
3989,YOGURT VARIETY ORIG ST/BB/MB,18,/,6,oz
3990,SPICE PAPRIKA DOM GRND,1,/,4.5,lb
3991,CUP PLAS PORTION TRANS 1OZ,10,/,250,ct
3992,PRETZEL TINY TWIST BULK,6,/,16,oz
3993,NAPKIN DNR 15X16.25 2PLY 1/8F,8,/,375,ct
3994,CHOCOLATE CHIP SEMI REAL 1000,1,/,25,lb
3995,COOKIE GRAHAM TEDDY CINNAMON,150,/,.75,oz
3996,SHERBET ORANGE,1,/,3,gal
3997,SPICE OREGANO WHL LEAVES MEX,6,/,5,oz
3998,SEASONING CARIBBEAN JERK,1,/,18,oz
3999,CHIP POTATO SALT & VGR SS,104,/,1,oz
4000,LINER TRASH 24X32 .35 ML BLK,500,/,12-16,g
4001,SNACK FRUIT ROLLUP CRAZYCOLOR,96,/,.5,oz
4002,JUICE PNAPL NOT FRM CONC 100%,48,/,6,oz
4003,DRESSING RASPBERRY LTE PKT,100,/,1.5,oz
4004,CEREAL CORN FLAKES CTRY BWLPK,96,/,.688,oz
4005,TOWELETTE MOIST X-LRGE,1,/,500,ct
4006,JUICE DRINK CITRUS C MONSTER,8,/,15.2,oz
4007,APPLE BUTTER,6,/,,#10
4008,SANITIZER QUAT J-512,4,/,1,gal
4009,CRACKER ASST DISTINCTIVE HRTG,60,/,,trays
4010,PLATE PAPER WHT VENTURE 10.5,4,/,125,ct
4011,ONION RED ORGANIC,1,/,40,lb
4012,DOUGH CROISSANT BUTR CURVED,280,/,1.2,oz
4013,PEPPER GREEN DICED 3/8,2,/,5,lb
4014,RAISIN SEEDLS GOLDEN,1,/,30,lb
4015,SPORK PLAS WHT PP MED WT,1,/,1000,ct
4016,TEA EARLGREY,6,/,28,ct
4017,CHIP POTATO REG,6,/,16,oz
4018,SHRIMP WHT P&D T/ON 26/30 RAW,5,/,2,lb
4019,SHRIMP WHT P&D T/OFF 71/90 RAW,5,/,2,lb
4020,SNACK CHEESE FLAMIN HOT BKD WG,104,/,.875,oz
4021,FILTER PAPER COFEE 23X9 10 GAL,250,/,,ea
4022,BREAKFAST INST CHOC LITE START,8,/,8,ct
4023,NAPKIN DINNER 15X16.75 2P 1/8W,8,/,375,ct
4024,SPICE CORIANDER SEED IN PLAS,6,/,11,oz
4025,CHEESE GRUYERE KNG CUTS,2,/,7,# avg
4026,COCONUT SNOWFLAKE SWEETENED,5,/,2,lb
4027,CONTAINER PAPER KRFT SNDW WDGE,1,/,300,ct
4028,DETERGENT DISHWASH SOL APEX PL,4,/,6.75,lb
4029,COOKIE FUDGE RND IW,8,/,24,ct
4030,JUICE APPLE NO THAW 4OZ,48,/,,ea
4031,PECAN PCS MEDIUM FCY RAW,3,/,2,lb
4032,NUT MIXED W/PEANUT SLTD,3,/,2,lb
4033,SAUCE SOY,1,/,1,gal
4034,CRACKER OYSTER DOTS,150,/,.5,oz
4035,PEACH DICED IN 100% FRUIT JUIC,36,/,4,oz
4036,BAG FOIL PLAIN 3.5X1.5X9,1000,/,,ea
4037,CUP BAKING PAPR FLTD 1OZ,2000,/,3.5,""""
4038,MUSTARD YELLOW SQZ CLS,12,/,12,oz
4039,SYRUP TONIC WTR 5X1 BIB 2.5GAL,1,/,2.5,gal
4040,BEEF EYE RND,3,/,5,#avg
4041,CHEESE AMER YEL 160 SLI,6,/,5,lb
4042,EGG WHITE LIQ W/TEC OPT CHOICE,12,/,2,lb
4043,COOKIE CHOC CHIP,100,/,2,pk
4044,LID BIODEG SOUFFLE,2000,/,2-4,oz
4045,MAYONNAISE LITE,200,/,7/16,oz
4046,CHEESE CREAM CHIVE & ONION,100,/,1,oz
4047,DRESSING VINGRT RASP FTFR,4,/,1,gal
4048,GRAIN SPCLTY FLAX SEED BRN,1,/,10,lb
4049,MUSHROOM SHIITAKE LRG SLI 3/16,1,/,3,lb
4050,MILK LO FAT 2%GRIP/GO PLS CHUG,12,/,12,oz
4051,SAUCE TERIYAKI,4,/,.5,gal
4052,ORANGE SEGMENT LT SYRUP,2,/,8,lb
4053,YAM FRESH ORIENTAL ORGANIC,1,/,40,lb
4054,CIRCLE PIZZA CORR WHT ON KRAFT,100,/,9,""""
4055,BAG PLAS T-SHIRT TOTAL TAKEOUT,1,/,500,ct
4056,CARROT SLI GR A,1,/,30,lb
4057,DELIMER LIME -A-WAY,4,/,1,gal
4058,BREAD BAGUETTE FRCH PARBKD,30,/,10.5,oz
4059,SAUCE BBQ SMOKEY,4,/,1,gal
4060,DRESSING MUSTARD SWEET PKT,102,/,1.5,oz
4061,SAUCE BROWNING,1,/,32,oz
4062,BATTER MIX FISH & VEG. FRY,6,/,5,lb
4063,JUICE APPLE PREMIUM W/ VIT C,8,/,64,oz
4064,DOUGH PIZZA WHITE SHEETED FTO,18,/,,12x16
4065,BEET FRESH GOLD W/O TOPS,1,/,5,lb
4066,KETCHUP BOTTLED FCY,24,/,14,oz
4067,TOMATO DICED FCY IN JUICE CA,6,/,,#10
4068,POTATO WHL WHT FCY 60/90CT,6,/,,#10
4069,PEA GREEN SWEET 4SV XSTD,6,/,,#10
4070,LAMB LEG NZ 3130 BRN HALAL FRZ,6,/,3.5,#av
4071,SOUP CREAM OF CHICKEN EZO,24,/,7.25,oz
4072,CEREAL CORN FLAKES BWLPK,96,/,3/4,oz
4073,SOUP BASE LOBSTER,6,/,1,lb
4074,TOWEL PAPER C-FOLD 2PLY WHT,12,/,120,ct
4075,BEAN BUTTER FCY,6,/,,#10
4076,DRINK MIX CITRUS BLEND DIET,12,/,2,gal
4077,CREAMER COFFEE NONDAIRY PWDR,1000,/,3,g
4078,JUICE TOMATO,12,/,46,oz
4079,SOUP BASE TRKY ULTM,6,/,1,lb
4080,SYRUP PANCAKE & WAFFLE,4,/,1,gal
4081,PINEAPPLE CHUNK JCE,6,/,,#10
4082,JELLY ASST CUP GRAP SB ORGMARM,200,/,.5,oz
4083,CEREAL RAISIN BRAN,4,/,56,oz
4084,TEA INSTANT W/LEMON & SUGAR,24,/,12,oz
4085,PINEAPPLE SLI JCE CH 66 CT,6,/,,#10
4086,POTATO HASH BRN RED QUNA SPNCH,6,/,3,lb
4087,PUMPKIN SOLID FANCY,6,/,,#10
4088,YAM CUT FCY,6,/,,#10
4089,WRAP FOIL CUSH-FLD 10.5X14,5,/,500,ct
4090,HONEY PURE CUP,200,/,.5,oz
4091,DRINK MIX FRUIT PUNCH,12,/,24,oz
4092,SAUCE BBQ REGULAR,1,/,5,gal
4093,JUICE DRINK STRWBRY BAN JUI,8,/,15.2,oz
4094,JUICE DRINK STRWBRY C MONSTER,8,/,15.2,oz
4095,DETERGENT HAND SOLID SOLITAIRE,4,/,5,lb
4096,CEREAL GOLDEN GRAHAM INDIV,70,/,.875,oz
4097,BAG SANDWICH PAPER 6X.75X7,6,/,1000,ct
4098,OIL PEANUT,1,/,35,lb
4099,RICE LONG GRAIN & WILD,6,/,36,oz
4100,TOMATO PASTE FANCY CA,24,/,12,oz
4101,CHARCOAL BRIQUET HICKORY,1,/,20,lb
4102,SYRUP MELLO YELLOW 5X1 BIB,1,/,5,gal
4103,PRESERVE RASPBERRY RED GR A,6,/,,#10
4104,PEPPERONCINI WHOLE IMPORTED,4,/,1,gal
4105,BAG PLAS 6.5X7.5 HI-DEN SANDW,1,/,2000,ct
4106,PRESERVE STRAWBERRY,6,/,4,lb
4107,BEEF STEAK PHILLY FAS BRKWY,40,/,4,oz
4108,LID BOARD P4125 FOOD CNTR,20,/,25,ct
4109,PRESOAK FLATWARE SILVER POWER,2,/,8,lb
4110,KNIFE PLAS WHITE MED WT,1,/,1000,ct
4111,LID PLAS SIP FOR 12-24 OZ CUP,10,/,100,ct
4112,DRESSING BALSAMIC VINGT PKT,100,/,1.5,oz
4113,CANDY BAR KIT KAT 1.5 OZ,1,/,36,ct
4114,LID FOAM 16MJ20 CNTR,10,/,50,ct
4115,PEPPER BELL GREEN MED,1,/,1.9,bhl
4116,PUDDING CHOCOLATE RTU,6,/,,#10
4117,SNACK BAR GRANOLA PNUT BUTTER,6,/,18,ct
4118,ALMOND NATURAL SLICED,3,/,2,lb
4119,TOWEL KITCHEN 9X11 2PLY JMBO,12,/,210,sht
4120,RICE PARBOILED PERFECT,1,/,25,lb
4121,MILK SKIM GALLON,4,/,1,gal
4122,BAGEL ASST BKD 4OZ SLI,12,/,6,ct
4123,YOGURT MIXED BRY ACTIVIA,24,/,4,oz
4124,TURKEY BURGER ALL AM GRL 5.33,30,/,5.33,oz
4125,BEEF FLANK STEAK,2,/,10,#avg
4126,PASTA NOODLE EGG WIDE,2,/,5,lb
4127,FILLING PIE CHERRY,4,/,.75,gal
4128,FRANK ALL-BEEF 5X1 7,4,/,5,lb
4129,BUTTER ROSE SLTD SOLID PREMIUM,520,/,.23,oz
4130,LEMON GRASS ORGANIC,1,/,1,lb
4131,KIT CUTLERY CATERWRP NAP/K/F/S,2,/,50,ct
4132,RINSE AID ADDITIVE ROFREE,2,/,5,qt
4133,CEREAL HNY NUT CHERI GLTN FR,70,/,.81,oz
4134,CHIP VARIETY BKD,2,/,30,ct
4135,CHIP WOOD HICKORY SMOKING,12,/,2,lb
4136,BUTTERMILK REG,9,/,.5,gal
4137,CANDY BAR MILKY WAY REG.,1,/,36,ct
4138,OREGANO FRESH ORGANIC,1,/,4,oz
4139,WALNUT HALVES AND PCS,1,/,5,lb
4140,TOPPING MALLO CREME,6,/,,#5
4141,PRETZEL NUGGET,6,/,1,lb
4142,CONTAINER PLAS TEAR STRIP,200,/,32 0,z
4143,PASTA ORZO,16,/,1,lb
4144,TUNA WHITE CHUNK IN WTR,6,/,66.5,oz
4145,DRINK LMN/LM LOOSE PK,24,/,11.6,oz
4146,BATTER MIX ALL PURPOSE GLDN FL,6,/,5,lb
4147,LID PLAS FOR 9 OZ BOWL HERTG,1000,/,,each
4148,SANITIZER MACH LOWTEMP ULTRA,1,/,5,gal
4149,SAUCE TABASCO HOT,12,/,5,oz
4150,DONUT YEAST RING GLAZED,48,/,2.5,oz
4151,SHRIMP WHT P&D TLOF 16/20,4,/,2.5,lb
4152,PUDDING MIX VANILLA INST,12,/,2,lb
4153,CLEANER ALL PURP BATH CREW,2,/,84.5,oz
4154,SEALER FLOOR FNSH PLAZA PLUS,1,/,5,ga
4155,BEEF LIVER SLCD SKND DEVEINED,40,/,4,oz.
4156,TOWEL ROLL WHITE 2 PLY 11X9,30,/,100,ct
4157,CHEESECAKE RASP WHT CHOC,2,/,87,oz
4158,PAN COATING LIQ TRG NON-ALC,6,/,15.5,oz
4159,CRACKER GRAHAM GFISH CINN GNT,300,/,0.9,oz
4160,SPICE PAPRIKA GROUND ME,1,/,18,oz
4161,SPICE PAPRIKA SPANISH FCY,1,/,18,oz
4162,SPICE SAGE RUBBED,1,/,6,oz
4163,CONTAINER PLAS CLR HNG BARLOCK,250,/,8x8x3,""""
4164,PUDDING MIX CHOC INSTANT,12,/,28,oz
4165,ICE CREAM ORG DREAM BAR,2,/,2,dz
4166,BOWL PLAS BLK PET 320 OZ,1,/,25,ct
4167,SEASONING CAJUN,1,/,6.5,lb
4168,DETERGENT POT/PAN PANTASTIC,1,/,5,gal
4169,SANDING SUGAR,1,/,16,lb
4170,SHERBET ORANGE,1,/,3,gal
4171,GLOVE LATEX FDSRV PWDR LG,10,/,100,ct
4172,BEEF EYE OF RND CH ANGUS,5,/,6,#avg
4173,OIL OLIVE CANOLA EVO 90/10,6,/,1,gal
4174,SPICE CUMIN GRND,1,/,14,oz
4175,TENDERIZER MEAT UNSEASONED,1,/,35,oz
4176,SEASONING POULTRY,1,/,12,oz
4177,SPICE PEPPER WHITE GROUND,1,/,5,lb
4178,WATER SPRKLG DRK CHRY&POMGRNT,24,/,330,ml
4179,SYRUP CORN LIGHT W/VANILA,4,/,1,gal
4180,MIX CAKE WHITE COMPLT,6,/,5,lb
4181,PLACEMAT 10X14 BGE,1000,/,,ea
4182,TEA PREMIUM BLEND FILTER PACK,32,/,4,oz
4183,SEASONING SEAFOOD,3,/,7.5,lb
4184,ONION YELLOW JMBO FRSH CRTN,1,/,10,lb
4185,CRACKER GOLDFISH BAKED,300,/,3/4,oz
4186,ARTICHOKE HEART QUARTER,6,/,88,oz
4187,APPLE PCS & RED GRAPE MIX USA,48,/,4,oz
4188,ARTICHOKE HEART QTR 100-140,6,/,3,kilo
4189,CRACKER CHEEZITS ORIG SNACK,60,/,1.5,oz
4190,SPICE WESTERN,1,/,21,oz
4191,CEREAL SPECIAL K,4,/,2,lb
4192,CHIP MULTIGRAIN FRCH ONION,104,/,1,oz
4193,CEREAL ASSORTED GO LEAN INDIV,1,/,36,ct
4194,SYRUP MAPLE 25%,4,/,1,gal
4195,COVER TOILET SEAT DISPOSABLE,4,/,250,ct
4196,SYRUP SOUR MIX BIB CONC,1,/,2.5,gal
4197,RAVIOLI FLORENTINE GRAND-E-OLI,45,/,3.5,oz
4198,COOKIE SHORTBREAD 100 CAL PK,72,/,.74,oz
4199,HAIRNET NYLON 28 DK BRN,20,/,144,ct
4200,PORK GROUND 80/20 FINE,2,/,5,lb
4201,OIL SALAD CANOLA,2,/,17.5,lb
4202,DUCK BRST BNLS RAW SKON,32,/,6-7,oz
4203,BAG PLAS T-SHIRT 13X10X23 JMBO,1,/,1000,ct
4204,PASTA FARFALLE,12,/,1,lb
4205,LINER TRASH 24X32 .7 ML CLR,500,/,12-16,g
4206,CONTAINER BIODEG SOUP CUP,500,/,16,oz
4207,MIX CAKE YELLOW COMPLT,6,/,5,lb
4208,MIX MUFFIN CORN COMPLT,6,/,5,lb
4209,WRAP PAPER BLK CHK 12X12,6,/,1000,ct
4210,SPICE LEMON PEPPER,3,/,7.5,lb
4211,SPICE ONION POWDER,1,/,20,oz
4212,BREAD NAAN TANDOORI TEARDROP,48,/,4.4,oz
4213,JUICE ORANGE PURE PREMSOMEPULP,12,/,12,oz
4214,SHALLOT FRESH ORGANIC,1,/,5,lb
4215,CRACKER ASST FAVORITE,500,/,2,pack
4216,"BREAD CINN RSN BKD SLI 5/8""",10,/,1,lb
4217,SOUP BASE PORK NO MSG ADDED,6,/,1,lb
4218,BAKING SODA,12,/,24,oz
4219,SPOON PLAS PS SILVER X-STRNGTH,50,/,12,ct
4220,BAG PAPER SUBMARINE 4.5X2X14,1000,/,,ea
4221,SAUCE MARINARA PREMIUM CA,6,/,,#10
4222,EGG WHL LIQ CRTN,15,/,2,lb
4223,CEREAL HOT OAT OLD FASHIONED,12,/,42,oz
4224,LETTUCE GREEN LEAF GOURM SNGLS,2,/,5,lb
4225,YOGURT STRAWBERRY FRCH STY OUI,8,/,5,oz
4226,CHIP TORTILLA COOL RANCH RFAT,72,/,1,oz
4227,ICE CREAM CHOC BROWNIE EXTRME,1,/,3,gal
4228,NAPKIN LUNCH 11.5X13 1PLY 1/4F,12,/,500,ct
4229,SEASONING ORIGINAL BLEND PAC,1,/,3000,ct
4230,BREAD BROWN PLAIN RTS,12,/,16,oz
4231,BAG PLAS RECLOSE 2GAL13X15 2ML,1,/,100,ct
4232,POTATO RED B QUARTERED SK-ON,2,/,15,#
4233,STRAW CKTL BLK 6IN PAPER,4,/,625,ea
4234,FLOUR H&R ALL PURP ENRICH BLCH,1,/,25,lb
4235,JUICE VEG,48,/,5.5,oz
4236,MIX MUFFIN GOLDEN COMPLT,6,/,5,lb
4237,BAG PAPER POPCORN 3.75X1.75X8,1000,/,,ea
4238,SPICE CHILI POWDER LT,1,/,18,oz
4239,SPICE PEPPER CAYENNE GRND,1,/,4.5,lb
4240,EXTRACT VANILLA IMIT,6,/,16,oz
4241,TOWEL MULTIFOLD NAT 9.5X9.125,16,/,250,ct
4242,TONG PLAS BLK SERV 10.75,36,/,10.75,""""
4243,POTATO CHIP NAT FRY 1/8,6,/,5,lb
4244,BEAN BLACK TURTLE DRIED WASH,1,/,20,lb
4245,CHESTNUT WATER SLICED,6,/,,#10
4246,CHIP MULTIGRAIN ORIG SS,104,/,1,oz
4247,BOX PIZZA CORR WHT/KFT PLAIN,50,/,,14x14
4248,APPLESAUCE ORIGINAL TRAYPK 4Z,72,/,4,oz
4249,SWAI FIL 3-5 OZ,1,/,15,lb
4250,COFFEE CAPP FRCH VAN,6,/,2,lb
4251,POLISH STNLS MDALLN NON ARSL,6,/,946,ml
4252,HUSHPUPPY MIX W/ONION,1,/,25,lb
4253,JUICE GRPFRT RTD CAN,48,/,5.5,oz
4254,CONTAINER PAPER #3 KRAFT,1,/,200,pk
